start	end	text
0	2000	Non si riscogono l'ora in un momento.
2000	4000	Una sera ultima domanda.
4000	6000	Mi raccomando ora.
6000	8000	Questa qui.
8000	11000	L'unica, l'ultima domanda finale.
11000	13000	La più importante, monastera.
15000	17000	Cosa, ascolta.
17000	20000	Cosa vorresti che tuo figlio facesse o tua figlia,
20000	22000	anche Alessandra,
22000	26000	facesse con questa cosa dell'intelligenza artificiale?
26000	29000	Cosa vorresti che tuo figlio o tua figlia
29000	32000	facesse con questa cosa dell'intelligenza artificiale?
32000	34000	E che significa?
34000	37000	In che senso che io vorresti che facesse
37000	39000	nell'intelligenza artificiale?
40000	42000	Cosa vorresti che...
42000	43000	Che tipo di lavoro?
43000	45000	Cosa di cosa, monastera?
46000	49000	Cosa diventa in mente?
49000	52000	Cosa vorresti che io facessi?
55000	57000	Ma con l'intelligenza artificiale...
57000	59000	Ma con l'intelligenza artificiale...
63000	65000	L'intelligenza artificiale...
72000	74000	Ma monastera non ci pensate troppo però.
74000	76000	Non lo so, rivedere...
76000	78000	Non lo so...
79000	81000	Studiare...
84000	86000	Studiare le macchine.
86000	88000	Le macchine.
88000	90000	Le automobili.
90000	92000	Perché?
92000	94000	Per renderle sembra più sicuro.
94000	96000	Questo vorresti.
97000	99000	Va bene, monastera.
101000	103000	Sia per me che per Alessandra.
103000	105000	Che stai sicuramente...
107000	110000	Mi non riesci a fare inginire meccanico.
112000	114000	Questo è un commento, monio.
114000	116000	Non riesci a risalisare la spromesta quindi...
118000	120000	Ma che te la rifaro...
120000	122000	Più là, domani...
122000	123000	Massimo.
123000	125000	Per Alessandra...
125000	127000	Cosa vorresti che fare...
127000	129000	Beh, con l'intelligenza artificiale.
130000	132000	Subito.
132000	133000	Sì.
133000	136000	Aiutare i ragazzi, visto che il campo...
136000	138000	Cioè...
138000	139000	Che modo?
139000	143000	Creare più attività possibili...
143000	145000	Attività migliori.
145000	147000	È, regime...
147000	149000	Più stimolanti, bel...
149000	152000	Cioè, andare più strategie possibili per...
153000	156000	Dare cultura ai ragazzi, regime.
156000	158000	Va bene, monastera, intervista.
158000	160000	Sì, concludo qui.
160000	162000	La ringrazio...
162000	164000	Per...
164000	166000	AI di provincia.
166000	168000	È tutto.
168000	170000	AI di provincia.
170000	172000	AI.
172000	174000	Così si dice in...
174000	176000	In inglese, monastera, AI.
176000	178000	Ia, perché AI?
178000	179000	Perché in inglese...
179000	181000	Intelligenza artificiale.
181000	182000	E perché in inglese?
182000	184000	In inglese, artificial intelligence.
184000	186000	Ah, a me uno si è italiano.
186000	188000	Ia.
189000	192000	È come dire che la pizza non si chiama pizza, perché in...
192000	195000	È come dire che la pizza non si chiama pizza, perché in...
195000	197000	In india la chiamano in un altro modo.
197000	199000	È...
199000	201000	È nata lì e siamo così.
201000	203000	AI.
203000	205000	Va bene, monastera.
205000	207000	Vole...
207000	209000	Vole a te, invece, vorrei pensare...
209000	211000	Ma a parte quello che le manovavano in macchine.
211000	213000	È...
214000	216000	Fuori sulle lingue, sulle lingue di tutto il mondo.
216000	218000	Fuori sulle lingue, sulle lingue di tutto il mondo.
218000	220000	Fuori sulle lingue, sulle lingue di tutto il mondo.
220000	222000	Che ti potesse creare...
222000	224000	Che ti potesse creare...
224000	226000	Per imparare le lingue.
226000	228000	Per imparare le lingue.
228000	230000	Va bene, monastera.
230000	232000	Vole fare un saluto agli nostri amici di...
232000	234000	Intelligenza artificiale.
236000	238000	Ragazzi, buon lavoro.
238000	240000	A nostri amici...
240000	242000	Artificiali.
242000	244000	Buon lavoro, quel prossimo futuro.
244000	246000	Buon lavoro, ragazzi.
