start	end	text
0	9000	L'abbito ad agli computer e cose. Invece noi mai studiate queste cose, quindi per noi è molto difficile l'approccio a questi nuovi sistemi.
14000	20000	E tu, che cosa pensi che sia questa diligenza artificiale a parole tue?
20000	35000	Cosa penso che sia? Cioè, che non viene sostituito l'uomo praticamente, che si riescono a fare tante cose con l'intelligenza artificiale senza che l'uomo interviene, praticamente. Si sostituisce l'uomo, praticamente.
37000	48000	Ok, monastera. Allora, adesso passiamo all'esperienza quotidiana. Sai che probabilmente tu già la usi senza saperlo?
51000	57000	Nel cellulare, nelle mappe, in televisione. Questa cosa ti sorprende, monastera?
57000	64000	Sì, mi sorprende, perché non lo so, come la uso. Cioè, la usi inconsciamente.
67000	70000	La uso inconsciamente senza saperlo, cioè...
70000	71000	Questa cosa ti ci sorprende?
71000	75000	Che grande cosa hai fatto in televisione con l'intelligenza artificiale, con qua dinti, tante cose.
75000	76000	Sattamente.
76000	77000	La schiaccio, però.
77000	80000	Magari la usi anche, e tu non lo sai.
80000	86000	Sì, che tante cose che mangono fuori l'allumio lulare, tante cose, tante cose, magari sono fatti con l'intelligenza artificiale.
86000	98000	No, ma parti le notizie di come sono fatte. Cioè, è proprio quello che usi tu, tipo lo strumento di ricerca, utilizzando l'intelligenza artificiale, Google, per esempio. Le app, Whatsapp...
99000	104000	E questa cosa, come ti fa sentire, come ti sorprende?
105000	106000	Sì.
110000	117000	C'è qualcosa nella tua giornata che ti pesa fare e che vorresti delegare a qualcuno o a qualcosa?
118000	120000	Eh, non ho capito la domanda.
120000	128000	C'è qualcosa che nella tua giornata ti pesa fare e che vorresti che sia delegata a qualcuno o a qualcosa.
128000	135000	Ovviamente non qualcosa di fisico come lavare i piatti, però anche quello. Cioè, anche quello.
136000	137000	Tutto.
138000	141000	Sì, mi pensa sì. Mi pesa cucinare.
142000	144000	E poi solo cucinare.
145000	154000	Eh, nella giornata mi pesa anche... vorrei un aiuto anche sul mio lavoro, effettivamente.
155000	156000	Sul tuo lavoro?
157000	158000	Che lavoro fa?
159000	161000	Stare con i bambini.
162000	164000	Che lavoro fai, monastera?
164000	165000	Insegnante.
166000	167000	Di?
167000	169000	Scuole di imbanzi con i bambini.
169000	179000	Quindi è diventato veramente un po' pesante gestire questi bambini che hanno tanti stimoli oggi, tantissimi.
179000	184000	Quindi a scuola, sia con questi strumenti...
185000	187000	Non si chiama questi qua...
188000	190000	Cellulare, telefono.
190000	191000	Sì, usiamo tutto insieme.
191000	194000	Sti coi tablet, computer, ci trovare...
195000	197000	Vormatici, tecnologici.
198000	203000	Perché i bambini sono già molto bravi con questi strumenti tecnologici.
203000	210000	Quindi la scuola bisogna sempre poterle cose nuove.
212000	216000	Cose nuove derivanti da questi strumenti tecnologici che loro già sanno usati.
216000	218000	Quindi è difficile gestire, vorrei un aiuto.
218000	226000	Vorrei un aiuto per reinventarti, cioè reinventare e organizzare le cose in maniera migliore.
227000	231000	E questa cosa potrebbe già essere fatta.
232000	241000	Potrei anche farla, potrei prendere spunto per dare un aiuto ai maestri di tutta Italia.
242000	243000	Comunque...
243000	244000	È com'è Tussandra?
244000	246000	Pazzeria che Tussandra è un aiuto.
246000	249000	Quindi già sapevo come indrissare tutte queste cose.
249000	251000	Ora monastera, ora monastera.
252000	255000	Passiamo ad un altro aspetto.
258000	259000	Ad un altro aspetto.
259000	263000	Di quello che è l'intelligenza artificiale.
264000	269000	Che cosa ti preoccupa di più quando senti la parola intelligenza artificiale?
270000	272000	Che cosa mi preoccupa di più?
274000	281000	Praticamente noi saremo manipolati da questa intelligenza artificiale.
281000	286000	Cioè che l'uomo non ha più il potere.
286000	289000	Prendere al potere sull'uomo quell'intelligenza artificiale.
291000	293000	Penzi questo, ma monastera.
293000	294000	In quanto tempo?
295000	296000	Pochissimo.
296000	298000	Pochissimo tempo, perché...
299000	301000	Da quanto ho capito...
301000	305000	Cioè questa intelligenza artificiale è già da un po' di anni che...
306000	309000	...labura sotto sotto, senza che non lo sappiamo.
311000	318000	E' tante vero che il governo americano la sfruttata per...
318000	326000	Cioè la sta sfruttando per le guerre, per la sorveglianza di massa.
326000	328000	Senza che non...
329000	333000	Più ci lo credo ieri sera la reporto a Manfredone, la reportamentola.
334000	339000	Con gli elicottere, con l'intelligenza artificiale, c'è degli aerei specifici.
339000	342000	Cioè, si mandano senza il pilota, il pilota, le guida la rinde...
342000	344000	...e va a sorvegliare tutte le situazioni.
344000	345000	Ah, sì, sì, sì.
345000	348000	Quello che degli telecamere tiene su tutti questi cose...
348000	351000	...è loro guida la rinde, c'è rinde un genuscio.
351000	353000	Quindi anche questo tipo di spavent...
353000	359000	C'è la potenza, il potenziale enorme che ha questa intelligenza artificiale...
359000	363000	...che si potrebbe reversare su di noi.
363000	364000	Certo.
364000	366000	Per tante cose pure utile.
366000	368000	Cioè tipo questi aerei che vanno a sorvegliare.
368000	371000	Però tante cose spaventa pure.
371000	375000	Cioè è una cosa più grande di noi secondo me che...
378000	380000	Un'altra domanda, Mastera.
380000	383000	Pensi che cambierà la vita qui nel Paese?
383000	385000	Se sì, in che modo?
386000	388000	Questo non lo so.
388000	390000	Non devo sospitare.
390000	393000	Sicuramente cambierà qualcosa perché i giovani...
393000	396000	...sono già molto attivi su queste cose,
396000	399000	l'intelligenza artificiale, tutti questi strumenti...
399000	403000	...la tecnologia, quindi sicuramente cambierà qualcosa.
403000	407000	Però io, essendo una boomer...
407000	410000	...quasi 60 anni non riesco proprio...
410000	413000	...a immergermi in questo mondo e non riesco a capire...
413000	418000	Per quello che pensi, Mastera, per quell'idea che hai...
419000	422000	...qualsiasi risposta va bene.
423000	426000	Invece adesso, sul futuro...
426000	428000	...se potessi chiedere una cosa...
428000	432000	...all'intelligenza artificiale, una qualsiasi, quale sarebbe?
434000	436000	Se io potessi chiedere una cosa...
436000	438000	...all'intelligenza artificiale?
438000	439000	Sì.
439000	442000	Che vorrei essere al jazz...
444000	446000	Qualsiasi cosa?
446000	449000	Vorrei tornare indietro, negli anni 80.
452000	455000	Che sarebbe qualunque possibile?
455000	457000	Questo non penso.
457000	459000	Non so che si raffaremane l'intelligenza artificiale.
459000	463000	Te lo può fare, però magari può ricreare...
465000	469000	...qualcosa di un mondo visivo...
469000	471000	...dove ti ci puoi rivedere...
471000	473000	...dove magari puoi...
473000	475000	Già adesso puoi...
475000	478000	...se hai delle tue foto, per esempio, si possono animare...
478000	481000	...e dargli vita...
481000	484000	...di rivederti come se fossi due, negli anni 80.
484000	487000	Però, l'esperienza di vita, a me, che ancora...
487000	490000	...non è possibile cambiarla...
490000	492000	...retornare indietro nel tempo...
492000	496000	...non è una cosa fattibile adesso...
496000	498000	...poi chissà nel tempo.
498000	500000	Oppure...
500000	502000	...è vista che sono trovata già stetà...
502000	504000	...a rimanere più possibile a quest'età.
504000	506000	Cioè, è possibile.
507000	510000	Poi, monastera, per l'ultima domanda...
510000	512000	...penzi che i giovani...
512000	515000	...che restano in provincia o in paese...
515000	517000	...avranno più o meno opportunità...
517000	519000	...grazie all'intelligenza artificiale...
519000	522000	...che i quelli che rimangono qui...
522000	524000	...avranno più opportunità...
524000	527000	...grazie all'intelligenza artificiale.
527000	531000	Penso che ci sarà un ritorno...
531000	535000	...perché quando ho capito nelle città...
535000	537000	...ormai sono fuori controllo.
537000	540000	Quindi penso che ci sarà un ritorno dei giovani...
540000	543000	...a vivere la vita nei paesi...
543000	546000	Poi, monastera, se vuoi sapere una cosa...
546000	551000	...cosa è che tante aziende tecnologiche grandi...
551000	554000	...anche al di fuori dell'Italia...
554000	557000	...sono investendo nel sud...
557000	559000	...in Calabria.
559000	561000	Hanno fatto una filiale...
561000	564000	...era una multinazionale grandissima di tecnologia...
564000	569000	...perché gli ingegneri che vengono dall'Università della Calabria...
569000	572000	...ingegneri informatici costano di meno...
572000	575000	...dei ingegneri informatici di Milano...
575000	577000	...per questo investono anche nel sud...
577000	580000	...quindi questo potrebbe essere un motivo...
580000	582000	...per cui...
